2 Series,2018,16250,Manual,10401,Petrol,145,52.3,1.5
4 Series,2017,14250,Manual,42668,Diesel,30,62.8,2.0
X3,2017,15500,Manual,74907,Diesel,145,52.3,2.0
1 Series,2017,11800,Manual,29840,Diesel,20,68.9,2.0
2 Series,2015,10500,Manual,31469,Diesel,20,68.9,2.0
3 Series,2017,16500,Manual,16570,Diesel,125,58.9,2.0
1 Series,2016,9400,Manual,44498,Diesel,0,83.1,1.5
1 Series,2016,11200,Manual,23005,Petrol,125,53.3,1.5
1 Series,2017,11900,Manual,22920,Petrol,145,53.3,1.5
3 Series,2015,11500,Manual,59634,Diesel,125,61.4,2.0
1 Series,2016,13500,Manual,29226,Diesel,30,62.8,2.0
3 Series,2016,15800,Manual,11231,Petrol,145,47.9,2.0
1 Series,2016,11400,Manual,21591,Petrol,125,53.3,1.5
1 Series,2016,9200,Manual,48858,Diesel,0,83.1,1.5
1 Series,2017,11200,Manual,40399,Diesel,145,68.9,2.0
1 Series,2016,13200,Manual,17393,Diesel,30,65.7,2.0
3 Series,2014,14000,Manual,32139,Petrol,205,43.5,2.0
X1,2017,14000,Manual,20925,Diesel,150,68.9,2.0
3 Series,2016,12750,Manual,30521,Diesel,20,68.9,2.0
X1,2018,18000,Manual,16066,Petrol,150,51.4,1.5
1 Series,2015,11100,Manual,11524,Diesel,0,83.1,1.5
1 Series,2017,12700,Manual,21809,Petrol,145,53.3,1.5
1 Series,2016,10800,Manual,26404,Petrol,125,53.3,1.5
1 Series,2016,13000,Manual,26631,Petrol,125,52.3,1.5
1 Series,2016,12500,Manual,24111,Petrol,145,47.1,1.6
3 Series,2017,13600,Manual,22763,Petrol,145,48.7,2.0
3 Series,2016,12700,Manual,17385,Diesel,20,72.4,2.0
4 Series,2016,15250,Manual,16584,Diesel,30,62.8,2.0
1 Series,2018,11700,Manual,30273,Diesel,145,53.3,1.5
2 Series,2017,10900,Manual,62021,Diesel,145,65.7,2.0
1 Series,2016,11100,Manual,29508,Petrol,125,53.3,1.5
1 Series,2017,11100,Manual,30865,Diesel,145,72.4,1.5
1 Series,2016,12800,Manual,18343,Diesel,20,70.6,1.5
2 Series,2017,12750,Manual,33752,Petrol,125,52.3,1.5
X1,2016,12150,Manual,77482,Diesel,20,68.9,2.0
1 Series,2017,12498,Manual,14138,Diesel,20,72.4,1.5
1 Series,2015,7948,Manual,74375,Diesel,30,65.7,2.0
